Date,Price,Open,High,Low,Change %
"Sep 25, 1984",345,345,345,345,-0.78%
"Sep 24, 1984",347.7,347.7,347.7,347.7,1.22%
"Sep 21, 1984",343.5,343.5,343.5,343.5,1.42%
"Sep 20, 1984",338.7,338.7,338.7,338.7,-0.38%
"Sep 19, 1984",340,340,340,340,0.98%
"Sep 18, 1984",336.7,336.7,336.7,336.7,0.45%
"Sep 17, 1984",335.2,335.2,335.2,335.2,-1.82%
"Sep 14, 1984",341.4,341.4,341.4,341.4,1.37%
"Sep 13, 1984",336.8,336.8,336.8,336.8,-0.50%
"Sep 12, 1984",338.5,338.5,338.5,338.5,-0.53%
"Sep 11, 1984",340.3,340.3,340.3,340.3,0.56%
"Sep 10, 1984",338.4,338.4,338.4,338.4,-0.38%
"Sep 07, 1984",339.7,339.7,339.7,339.7,-0.23%
"Sep 06, 1984",340.5,340.5,340.5,340.5,0.68%
"Sep 05, 1984",338.2,338.2,338.2,338.2,-0.88%
"Sep 04, 1984",341.2,341.2,341.2,341.2,-2.01%
"Aug 31, 1984",348.2,348.2,348.2,348.2,0.29%
"Aug 30, 1984",347.2,347.2,347.2,347.2,-0.94%
"Aug 29, 1984",350.5,350.5,350.5,350.5,0.23%
"Aug 28, 1984",349.7,349.7,349.7,349.7,0.49%
"Aug 27, 1984",348,348,348,348,-0.57%
"Aug 24, 1984",350,350,350,350,-0.34%
"Aug 23, 1984",351.2,351.2,351.2,351.2,1.80%
"Aug 22, 1984",345,345,345,345,-0.29%
"Aug 21, 1984",346,346,346,346,-0.94%
"Aug 20, 1984",349.3,349.3,349.3,349.3,-0.77%
"Aug 17, 1984",352,352,352,352,-0.06%
"Aug 16, 1984",352.2,352.2,352.2,352.2,0.37%
"Aug 15, 1984",350.9,350.9,350.9,350.9,-0.88%
"Aug 14, 1984",354,354,354,354,3.06%
"Aug 13, 1984",343.5,343.5,343.5,343.5,-0.92%
"Aug 10, 1984",346.7,346.7,346.7,346.7,0.73%
"Aug 09, 1984",344.2,344.2,344.2,344.2,-0.09%
"Aug 08, 1984",344.5,344.5,344.5,344.5,0.73%
"Aug 07, 1984",342,342,342,342,-2.06%
"Aug 06, 1984",349.2,349.2,349.2,349.2,0.00%
"Aug 03, 1984",349.2,349.2,349.2,349.2,1.51%
"Aug 02, 1984",344,344,344,344,1.47%
"Aug 01, 1984",339,339,339,339,-0.96%
"Jul 31, 1984",342.3,342.3,342.3,342.3,1.12%
"Jul 30, 1984",338.5,338.5,338.5,338.5,0.98%
"Jul 27, 1984",335.2,335.2,335.2,335.2,-2.61%
"Jul 26, 1984",344.2,344.2,344.2,344.2,0.73%
"Jul 25, 1984",341.7,341.7,341.7,341.7,0.95%
"Jul 24, 1984",338.5,338.5,338.5,338.5,1.04%
"Jul 23, 1984",335,335,335,335,-2.05%
"Jul 20, 1984",342,342,342,342,-2.34%
"Jul 19, 1984",350.2,350.2,350.2,350.2,1.30%
"Jul 18, 1984",345.7,345.7,345.7,345.7,-0.40%
"Jul 17, 1984",347.1,347.1,347.1,347.1,-0.86%
"Jul 16, 1984",350.1,350.1,350.1,350.1,1.48%
"Jul 13, 1984",345,345,345,345,1.14%
"Jul 12, 1984",341.1,341.1,341.1,341.1,0.56%
"Jul 11, 1984",339.2,339.2,339.2,339.2,-1.45%
"Jul 10, 1984",344.2,344.2,344.2,344.2,1.68%
"Jul 09, 1984",338.5,338.5,338.5,338.5,-4.16%
"Jul 06, 1984",353.2,353.2,353.2,353.2,-3.18%
"Jul 05, 1984",364.8,364.8,364.8,364.8,-0.95%
"Jul 03, 1984",368.3,368.3,368.3,368.3,-0.46%
"Jul 02, 1984",370,370,370,370,-0.80%
"Jun 29, 1984",373,373,373,373,0.03%
"Jun 28, 1984",372.9,372.9,372.9,372.9,1.00%
"Jun 27, 1984",369.2,369.2,369.2,369.2,-0.08%
"Jun 26, 1984",369.5,369.5,369.5,369.5,0.08%
"Jun 25, 1984",369.2,369.2,369.2,369.2,-1.34%
"Jun 22, 1984",374.2,374.2,374.2,374.2,0.94%
"Jun 21, 1984",370.7,370.7,370.7,370.7,0.19%
"Jun 20, 1984",370,370,370,370,-0.16%
"Jun 19, 1984",370.6,370.6,370.6,370.6,0.73%
"Jun 18, 1984",367.9,367.9,367.9,367.9,-0.03%
"Jun 15, 1984",368,368,368,368,-2.02%
"Jun 14, 1984",375.6,375.6,375.6,375.6,0.43%
"Jun 13, 1984",374,374,374,374,-0.27%
"Jun 12, 1984",375,375,375,375,-1.96%
"Jun 11, 1984",382.5,382.5,382.5,382.5,-0.91%
"Jun 08, 1984",386,386,386,386,-1.58%
"Jun 07, 1984",392.2,392.2,392.2,392.2,0.15%
"Jun 06, 1984",391.6,391.6,391.6,391.6,-0.53%
"Jun 05, 1984",393.7,393.7,393.7,393.7,0.69%
"Jun 04, 1984",391,391,391,391,-0.69%
"Jun 01, 1984",393.7,393.7,393.7,393.7,2.47%
"May 31, 1984",384.2,384.2,384.2,384.2,-0.57%
