Date,Price,Open,High,Low,Change %
"Jan 17, 2000",285.55,284.1,285.55,285.55,0.55%
"Jan 14, 2000",284,284.2,284,284,-0.09%
"Jan 13, 2000",284.25,282.6,284.25,284.25,0.63%
"Jan 12, 2000",282.48,283.27,282.48,282.48,-0.32%
"Jan 11, 2000",283.38,281.48,283.38,283.38,0.68%
"Jan 10, 2000",281.48,281.88,281.48,281.48,-0.10%
"Jan 07, 2000",281.75,281.15,281.75,281.75,0.18%
"Jan 06, 2000",281.23,280.12,281.23,281.23,0.08%
"Jan 05, 2000",281,281.5,281,281,-0.51%
"Jan 04, 2000",282.45,288.75,282.45,282.45,-2.27%
"Jan 03, 2000",289,288.5,289,289,0.26%
"Dec 31, 1999",288.25,288.5,288.25,288.25,-0.02%
"Dec 30, 1999",288.3,291.1,288.3,288.3,-0.83%
"Dec 29, 1999",290.7,290.25,290.7,290.7,0.31%
"Dec 28, 1999",289.8,288,289.8,289.8,0.62%
"Dec 27, 1999",288,287.75,288,288,0.09%
"Dec 24, 1999",287.75,286.75,287.75,287.75,0.28%
"Dec 23, 1999",286.95,287,286.95,286.95,-0.03%
"Dec 22, 1999",287.05,287.5,287.05,287.05,-0.07%
"Dec 21, 1999",287.25,284.5,287.25,287.25,1.06%
"Dec 20, 1999",284.25,283.7,284.25,284.25,0.16%
"Dec 17, 1999",283.8,282.2,283.8,283.8,0.66%
"Dec 16, 1999",281.95,282.65,281.95,281.95,-0.28%
"Dec 15, 1999",282.75,280.15,282.75,282.75,1.00%
"Dec 14, 1999",279.95,280.25,279.95,279.95,-0.05%
"Dec 13, 1999",280.1,279.5,280.1,280.1,0.38%
"Dec 10, 1999",279.05,278.25,279.05,279.05,0.29%
"Dec 09, 1999",278.25,282.55,278.25,278.25,-1.42%
"Dec 08, 1999",282.25,283.75,282.25,282.25,-0.37%
"Dec 07, 1999",283.3,277,283.3,283.3,2.50%
"Dec 06, 1999",276.4,280.2,276.4,276.4,-1.32%
"Dec 03, 1999",280.1,285.2,280.1,280.1,-1.72%
"Dec 02, 1999",285,289.6,285,285,-1.55%
"Dec 01, 1999",289.5,290.7,289.5,289.5,-0.47%
"Nov 30, 1999",290.88,291.12,290.88,290.88,-0.11%
"Nov 29, 1999",291.2,297.5,291.2,291.2,-2.28%
"Nov 26, 1999",298,297.5,298,298,-0.13%
"Nov 25, 1999",298.38,298.38,298.38,298.38,-0.17%
"Nov 24, 1999",298.9,298.3,298.9,298.9,0.26%
"Nov 23, 1999",298.12,294.88,298.12,298.12,1.23%
"Nov 22, 1999",294.5,294.4,294.5,294.5,-0.17%
"Nov 19, 1999",295,294,295,295,0.25%
"Nov 18, 1999",294.25,294.6,294.25,294.25,-0.04%
"Nov 17, 1999",294.38,294.12,294.38,294.38,-0.04%
"Nov 16, 1999",294.5,291.5,294.5,294.5,1.03%
"Nov 15, 1999",291.5,292,291.5,291.5,0.07%
