,predicted_volatility,actual_volatility
0,1.877571940422058,1.9755649095728631
1,1.873539924621582,1.9832840430745229
2,1.8804630041122437,2.0849235707042912
3,1.8969441652297974,2.119123197301965
4,1.9217345714569092,2.0854081166159157
5,1.9520536661148071,2.079432335460147
6,1.9845483303070068,2.100703918511681
7,2.016838312149048,2.0968986438167896
8,2.046205520629883,2.095694275909447
9,2.070704936981201,2.109448491410855
10,2.0896503925323486,2.0968170287183985
11,2.1017708778381348,2.030557456969081
12,2.1076440811157227,2.018202117539936
13,2.10593318939209,2.0768136356091733
14,2.0981695652008057,2.0778170661480404
15,2.087261199951172,2.0749039783416765
16,2.0750324726104736,2.0591416048650406
17,2.06624698638916,2.058078711903357
18,2.0580050945281982,2.0768950627590503
19,2.051041603088379,2.0756829242543517
20,2.045541286468506,2.0703995201123
21,2.0425546169281006,2.031287152974433
22,2.0413594245910645,1.990530962198657
23,2.040780544281006,1.9999016127441944
24,2.038100242614746,1.9977697247050648
25,2.031968832015991,2.0297455520866445
26,2.023723840713501,2.0282093829436065
27,2.014974355697632,2.051174922738181
28,2.007111072540283,1.98379322866705
29,2.000455617904663,1.9963998820816655
30,1.9950627088546753,1.9998336964940844
31,1.9904619455337524,2.0013194222628687
32,1.98617684841156,2.001982923255978
33,1.983060359954834,1.9932010478300954
34,1.9815062284469604,2.023418439546207
35,1.9808059930801392,2.0451281555548815
36,1.9816337823867798,2.158292749085384
37,1.986433744430542,2.1642722656335445
38,1.9975545406341553,2.161279561536579
39,2.0157666206359863,2.1622936480739443
40,2.0397753715515137,2.309801296261799
41,2.070096969604492,2.309886366190106
42,2.1062638759613037,2.3132714477329164
43,2.1470401287078857,2.3534776521079928
44,2.19118070602417,2.523863055182854
45,2.2390902042388916,2.533144457783868
46,2.2912721633911133,2.3347752933431374
47,2.342146635055542,2.3539883041163097
48,2.3862922191619873,2.341119769615355
49,2.4182262420654297,2.345996181002985
50,2.4367077350616455,2.3449152818886265
51,2.441507577896118,2.330133883515817
52,2.434170722961426,2.278947812386685
53,2.4165565967559814,2.271499905239716
54,2.391080856323242,2.24811418457204
55,2.360651731491089,2.3917913915112297
56,2.3304784297943115,2.3841891301475013
57,2.306171178817749,2.3775244453740747
58,2.2897021770477295,2.4210182049079974
59,2.2833590507507324,2.407675436305704
60,2.2873916625976562,2.4454594907576563
61,2.301961660385132,2.4983741981118963
62,2.3240065574645996,2.5176352188418463
63,2.3522040843963623,2.4848874339387543
64,2.384004831314087,2.485578622835808
65,2.4167916774749756,2.4796779481529034
66,2.445340871810913,2.479771879857988
67,2.46624493598938,2.488587367263351
68,2.4814600944519043,2.462626903958279
69,2.4899911880493164,2.4968857845594363
70,2.4928650856018066,2.496278761245066
71,2.491455078125,2.5209782765344935
72,2.487785816192627,2.5075707192773597
73,2.4833590984344482,2.505963950477497
74,2.4798195362091064,2.524729807086795
75,2.477912187576294,2.4959761260179607
76,2.4785983562469482,2.5153071459603127
77,2.4797728061676025,2.494843678016777
78,2.4809725284576416,2.4801970508503786
79,2.4817252159118652,2.4972510455180514
80,2.481113910675049,2.5080202001741854
81,2.479874610900879,2.5489358535097746
82,2.47917103767395,2.563273454272704
83,2.4800190925598145,2.5630774338116233
84,2.483055830001831,2.586104050273802
85,2.489452600479126,2.5740224397859346
86,2.4988625049591064,2.4762139020665486
87,2.508458137512207,2.4818951370335958
88,2.5153963565826416,2.4860110416365533
89,2.517549991607666,2.4849415597454705
90,2.5148489475250244,2.3897548566944598
91,2.5055222511291504,2.3906419268352277
92,2.4894700050354004,2.3821788948175
93,2.467181921005249,2.318685587130747
94,2.439565658569336,2.158697165461948
95,2.4052324295043945,2.2164798303415223
96,2.364349603652954,2.20093481833075
97,2.31937313079834,2.1535257943572907
98,2.2720608711242676,2.178207632786198
99,2.2256274223327637,2.2339858318185044
100,2.184499979019165,2.23095422271314
101,2.152022123336792,2.2512625877545767
102,2.1308658123016357,2.233162885564345
103,2.121176242828369,2.173670810694154
104,2.1206867694854736,2.165948049603068
105,2.1262903213500977,2.03094750821091
106,2.1317780017852783,2.0350061066517453
107,2.131709575653076,2.071836092729681
108,2.125439167022705,2.0694617741464736
109,2.1129391193389893,2.064166794220128
110,2.0956385135650635,2.2277460169217465
111,2.0780222415924072,2.1954103725431007
112,2.0660805702209473,2.1770621302510045
113,2.0621697902679443,2.146817751361979
114,2.065748929977417,2.1524745750706145
115,2.0747382640838623,2.1545271135602393
116,2.089402437210083,2.1777207960315117
117,2.106227397918701,2.1755500820057785
118,2.1228933334350586,2.166401419283454
119,2.138415575027466,2.1309786402871698
120,2.1508049964904785,2.1442403584667677
121,2.1581239700317383,2.2579071228664764
122,2.162602424621582,2.2551578044174065
123,2.1663625240325928,2.2468363650105143
124,2.1710879802703857,2.209484051243424
125,2.1777408123016357,2.2138832665129264
126,2.184581995010376,2.2146403557191845
127,2.192490816116333,2.220540865550324
128,2.200496196746826,2.219243634317177
129,2.207095146179199,2.1865282136348148
130,2.2111501693725586,2.187249867135384
131,2.213313579559326,2.1898170024543577
132,2.210939407348633,2.2246607497979167
133,2.205796718597412,2.236636486024545
134,2.199826955795288,2.1867587755111235
135,2.194241762161255,2.2307128395599944
136,2.1899609565734863,2.576043591778733
137,2.19423508644104,2.770690510004192
138,2.2166531085968018,2.762599289292049
139,2.2632319927215576,2.767196210185612
140,2.3339381217956543,2.7011456697725618
141,2.4224255084991455,2.7059498146094656
142,2.5187528133392334,2.812780811571066
143,2.612454414367676,2.8195655493062683
144,2.6965904235839844,2.805131192927373
145,2.7658727169036865,2.773534291960849
146,2.817260265350342,2.8808491168044355
147,2.851694345474243,3.0000993845933865
148,2.874575614929199,2.9942784853181386
149,2.891296148300171,3.03421276809134
150,2.906633138656616,3.095537336671598
151,2.925157308578491,3.083707537202269
152,2.9484364986419678,3.0792602781096714
153,2.975823163986206,3.0852564465367167
154,3.004854679107666,3.087120140394285
155,3.0325493812561035,3.0836497183993403
156,3.057088613510132,3.078078532812269
157,3.0773239135742188,3.052262580756312
158,3.089056968688965,3.0499588579870047
159,3.090667963027954,3.0487803273789815
160,3.0839078426361084,2.9029812633982384
161,3.0677695274353027,2.9277756518957307
162,3.043543815612793,2.959781605940971
163,3.0141217708587646,2.960931571659191
164,2.982024669647217,2.969769053245445
165,2.950960636138916,3.072413863299948
166,2.9262421131134033,3.0558738119547564
167,2.912036895751953,3.060009820732036
168,2.9091455936431885,3.072186613509781
169,2.916158676147461,3.137129123280649
170,2.9328956604003906,3.1661610564853784
171,2.9581682682037354,3.0849545333587707
172,2.987457513809204,3.088420961365093
173,3.0165531635284424,3.0899703248416936
174,3.0418269634246826,3.096698056744402
175,3.0609195232391357,3.1169714195615748
176,3.073326826095581,3.1174542855927423
177,3.079702138900757,3.114540964832567
178,3.0812036991119385,3.1148276057034647
179,3.0794661045074463,3.1163076807392684
180,3.0758790969848633,3.144292693227624
181,3.071732521057129,3.166373837088843
182,3.0701425075531006,3.1322539727490883
183,3.07108473777771,3.122729706711721
184,3.0735297203063965,3.121701002329095
