,predicted_volatility,actual_volatility
774,0.8228150606155396,3.8428358365854076
775,0.8251237273216248,3.666305049563385
776,0.8256875872612,3.72034963779926
777,0.8237316608428955,3.570586104988146
778,0.8184555172920227,3.545304490591782
779,0.8095535039901733,3.559739291449324
780,0.7976436018943787,3.5413018319178984
781,0.7839439511299133,3.5076585201165034
782,0.7696124911308289,3.448995261332797
783,0.7555038928985596,3.4913067226489907
784,0.742668867111206,3.4802397999974937
785,0.7319397926330566,3.4812363382514717
786,0.7238120436668396,3.509377987656532
787,0.7185978293418884,3.4214453684379125
788,0.715843141078949,3.4215009670025855
789,0.7147784233093262,3.4166226983302384
790,0.7145994305610657,3.399129248721032
791,0.714576244354248,3.421728712903735
792,0.7143590450286865,3.410451919285307
793,0.7137957215309143,3.4113190171146037
794,0.7129668593406677,3.4249272382174
795,0.71210116147995,3.429376786024866
796,0.7114993929862976,3.5537448504047306
797,0.7120741605758667,3.5723537796630933
798,0.7145271301269531,3.4716044401337003
799,0.7187148332595825,3.3480300375576277
800,0.7231404781341553,4.241868317333421
801,0.7309287786483765,4.2938169210405945
802,0.7458521723747253,4.474831428015957
803,0.7707602977752686,4.5016538077346056
804,0.8059486150741577,4.860033776891401
805,0.8509162664413452,4.854732040243594
806,0.9032275080680847,5.013662973430145
807,0.9595410227775574,5.0184746595302725
808,1.015749454498291,5.010938776104312
809,1.067559003829956,5.01415521301002
810,1.1112185716629028,5.669976539767279
811,1.1480724811553955,5.956848218760585
812,1.182316780090332,6.067640299498771
813,1.217926025390625,6.132043143541046
814,1.2569470405578613,6.228017932149585
815,1.2993782758712769,6.3602807887177075
816,1.3439775705337524,6.4592487916710635
817,1.3886888027191162,6.4845242867331185
818,1.4310353994369507,6.456551617638966
819,1.46846604347229,6.4419071611132255
820,1.4988107681274414,6.666665395505831
821,1.5207524299621582,6.63532496039692
822,1.5349717140197754,6.699737916855499
823,1.5431585311889648,6.883729685276317
824,1.5483752489089966,6.8851321089010895
825,1.5526957511901855,6.8716720798544095
826,1.5576872825622559,6.958760247397763
827,1.5641276836395264,6.958525264169993
828,1.572234034538269,7.170862142413679
829,1.582871675491333,7.207399743534678
830,1.5965248346328735,7.244336599613606
831,1.611830711364746,7.218470101956889
832,1.6275428533554077,7.358000447425186
833,1.6432844400405884,7.321327048550732
834,1.6583542823791504,7.5505873299397175
835,1.6732372045516968,7.550612413307091
836,1.688218116760254,7.540297679879362
837,1.703039288520813,7.60652424559471
838,1.7175036668777466,7.929719499327321
839,1.733296275138855,7.935445799294901
840,1.751582384109497,8.12342601771257
841,1.7730361223220825,8.12740283108216
842,1.7978273630142212,8.12920535521611
843,1.8244366645812988,8.161693294292851
844,1.85051691532135,8.160987866068595
845,1.874102234840393,8.246045263655766
846,1.894036054611206,8.282851061017574
847,1.909714937210083,8.277023142104902
848,1.9212254285812378,8.355139928726333
