,Date,Bonds_10year,BON_Returns_Rolling_Std
0,1979-12-28,-0.4780114722753415,
1,1979-12-31,-0.7684918347742542,
2,1980-01-02,1.645692158760892,
3,1980-01-03,0.9523809523809491,
4,1980-01-04,0.5660377358490676,
5,1980-01-07,-0.2814258911819856,
6,1980-01-08,-0.5644402634054635,
7,1980-01-09,0.0946073793755886,
8,1980-01-10,-0.6616257088846944,
9,1980-01-11,1.6175071360609028,
10,1980-01-14,0.1872659176029856,
11,1980-01-15,-0.4672897196261627,
12,1980-01-16,0.0,
13,1980-01-17,0.5633802816901401,
14,1980-01-18,1.0270774976657293,
15,1980-01-21,1.2939001848428775,
16,1980-01-22,-1.0036496350365076,
17,1980-01-23,-0.2764976958525289,
18,1980-01-24,1.7560073937153309,
19,1980-01-25,0.8174386920980936,
20,1980-01-28,0.4504504504504458,
21,1980-01-29,0.5381165919282616,
22,1980-01-30,-0.4460303300624524,
23,1980-01-31,-0.26881720430107503,
24,1980-02-01,1.4375561545372673,
25,1980-02-04,0.9743135518157864,
26,1980-02-05,2.894736842105261,
27,1980-02-06,1.619778346121059,
28,1980-02-07,-1.7617449664429463,
29,1980-02-08,0.7685738684884758,
30,1980-02-11,1.7796610169491522,
31,1980-02-13,-1.2489592006661108,
32,1980-02-14,0.927487352445211,
33,1980-02-15,1.9214703425229684,
34,1980-02-19,5.327868852459017,
35,1980-02-20,-0.07782101167315147,
36,1980-02-21,2.9595015576324046,
37,1980-02-22,-1.2102874432677768,
38,1980-02-25,1.607963246554367,
39,1980-02-26,2.863602110022612,
40,1980-02-27,-1.391941391941387,
41,1980-02-28,-4.011887072808329,
42,1980-02-29,-1.5479876160990669,
43,1980-03-03,0.5503144654087855,
44,1980-03-04,0.9382329945269774,
45,1980-03-05,0.929512006196731,
46,1980-03-06,0.7674597083653145,
47,1980-03-07,-2.056359482102066,
48,1980-03-10,-1.7884914463452417,
49,1980-03-11,-1.7418844022169533,1.5698216364817579
50,1980-03-12,1.6921837228041747,1.5763225805142698
51,1980-03-13,-0.9508716323296308,1.5792848855082215
52,1980-03-14,0.16000000000000458,1.5692029103850833
53,1980-03-17,0.4792332268370725,1.5670106680579554
54,1980-03-18,-1.4308426073131986,1.586845177465377
55,1980-03-19,-0.4032258064516237,1.5878728032421097
56,1980-03-20,2.1862348178137703,1.6044271992859256
57,1980-03-21,1.030110935023787,1.6066306631413343
58,1980-03-24,3.2941176470588256,1.6507588454069335
59,1980-03-25,-0.5315110098709219,1.648127599718911
60,1980-03-26,-0.5343511450381699,1.6533811356148098
61,1980-03-27,-0.4604758250191798,1.653307787978248
62,1980-03-28,-1.927525057825752,1.685186277947089
63,1980-03-31,-0.6289308176100628,1.6908162014875594
64,1980-04-01,0.3955696202531556,1.6879799839030414
65,1980-04-02,-0.4728132387706752,1.685949886200814
66,1980-04-03,-0.8709422011084822,1.683962373621063
67,1980-04-07,-3.1150159744408823,1.750350837227783
68,1980-04-08,0.6595218466611819,1.7378418993420996
69,1980-04-09,-1.2285012285012331,1.7475912714330801
70,1980-04-10,0.0,1.74733453557401
71,1980-04-11,-2.2388059701492597,1.7792969487272532
72,1980-04-14,-1.4418999151823542,1.7912547133403298
73,1980-04-15,-0.4302925989672857,1.7920721050074764
74,1980-04-16,-5.790838375108043,1.9646607029808179
75,1980-04-17,2.110091743119269,1.983239482545541
76,1980-04-18,-0.7187780772686447,1.9399024763891568
77,1980-04-21,-1.3574660633484226,1.93168459790438
78,1980-04-22,-0.7339449541284404,1.9197281701394402
79,1980-04-23,0.6469500924214389,1.9186303241676628
80,1980-04-24,0.6427915518824712,1.9020533116141884
81,1980-04-25,-0.09124087591242393,1.8956249981068758
82,1980-04-28,-2.9223744292237286,1.9291923677257876
83,1980-04-29,0.3762935089369535,1.9064483551239328
84,1980-04-30,0.8434864104967188,1.7366132707810957
85,1980-05-01,-1.7657992565055736,1.7477938486471836
86,1980-05-02,-3.1220435193945133,1.7225598317030535
87,1980-05-05,-0.5859375,1.7195282054690624
88,1980-05-06,-3.7328094302553914,1.7525916585949504
89,1980-05-07,1.6326530612244872,1.7112579118807134
90,1980-05-08,2.208835341365445,1.7530986058368048
91,1980-05-09,1.1787819253438192,1.6961810120291294
92,1980-05-12,0.0,1.689621934445448
93,1980-05-13,-1.650485436893201,1.692836562469591
94,1980-05-14,0.0987166831194486,1.6829100741736476
95,1980-05-15,1.67652859960552,1.698809249234806
96,1980-05-16,0.5819592628515835,1.6962904233967548
97,1980-05-19,1.5429122468659573,1.7033726439929096
98,1980-05-20,-2.9439696106362656,1.730430799243794
99,1980-05-21,-1.3698630136986356,1.7253695985278785
100,1980-05-22,0.1984126984126977,1.7011609418205218
101,1980-05-23,-2.475247524752477,1.7241870328303166
102,1980-05-27,1.116751269035543,1.7364808123864088
103,1980-05-28,1.4056224899598346,1.7513837044508191
104,1980-05-29,1.3861386138613874,1.763567702586268
105,1980-05-30,0.09765625,1.7647778842710022
106,1980-06-02,0.5853658536585371,1.7319184398831156
107,1980-06-03,-1.4548981571290032,1.726019487518455
108,1980-06-04,-0.8858267716535417,1.640666146695631
109,1980-06-05,-0.4965243296921607,1.640669446987489
110,1980-06-06,-2.0958083832335217,1.655715586594973
111,1980-06-09,-0.8154943934760461,1.6560741741485934
112,1980-06-10,1.0277492291880683,1.6589901884201277
113,1980-06-11,-1.3224821973550458,1.6629807765901938
114,1980-06-12,-1.7525773195876335,1.6667377795397533
115,1980-06-13,-0.20986358866735835,1.6674245233860203
116,1980-06-16,-0.4206098843322681,1.666883019450741
