,Date,XAU_USD,GOL_Returns_Rolling_Std
0,1979-12-28,-0.6789524733268659,
1,1980-01-01,0.0,
2,1980-01-02,9.326171875,
3,1980-01-03,13.309513175524778,
4,1980-01-04,0.0,
5,1980-01-07,-0.039416633819466806,
6,1980-01-08,-3.785488958990535,
7,1980-01-09,-0.4590163934426128,
8,1980-01-10,-0.6340579710145011,
9,1980-01-11,3.2568161100521964,
10,1980-01-14,5.939004815409299,
11,1980-01-15,3.6363636363636376,
12,1980-01-16,11.111111111111116,
13,1980-01-17,-1.3157894736842146,
14,1980-01-18,11.333333333333329,
15,1980-01-21,0.0,
16,1980-01-22,-11.676646706586823,
17,1980-01-23,-5.762711864406778,
18,1980-01-24,3.1654676258992875,
19,1980-01-25,-6.8340306834030695,
20,1980-01-28,-6.586826347305387,
21,1980-01-29,8.052884615384626,
22,1980-01-30,2.4842417500926968,
23,1980-01-31,-5.499276410998554,
24,1980-02-01,3.598774885145484,
25,1980-02-04,-0.9977827050997812,
26,1980-02-05,0.0,
27,1980-02-06,5.86039567002612,
28,1980-02-07,-1.3751763046544463,
29,1980-02-08,-1.0368251698248176,
30,1980-02-11,2.673410404624277,
31,1980-02-12,-2.2519352568613704,
32,1980-02-13,0.3239740820734305,
33,1980-02-14,-2.1169716541083567,
34,1980-02-15,-2.1994134897360684,
35,1980-02-18,0.0,
36,1980-02-19,-2.2113943028485794,
37,1980-02-20,0.0,
38,1980-02-21,1.9547719432732924,
39,1980-02-22,-5.263157894736848,
40,1980-02-25,-2.1428571428571463,
41,1980-02-26,4.176804541768053,
42,1980-02-27,-0.9731413001167756,
43,1980-02-28,1.5723270440251682,
44,1980-02-29,-1.3931888544891688,
45,1980-03-03,4.199372056514904,
46,1980-03-04,-4.896421845574384,
47,1980-03-05,1.9405940594059423,
48,1980-03-06,0.0,
49,1980-03-07,-5.361305361305357,4.873832950289101
50,1980-03-10,-3.940886699507384,4.910922242756122
51,1980-03-11,-2.5213675213675235,4.927853764556716
52,1980-03-12,2.7093380096449016,4.76765249211459
53,1980-03-13,-4.985487450913438,4.4312156628517725
54,1980-03-14,-6.019766397124893,4.507746291372508
55,1980-03-17,-7.456978967495219,4.620127551647774
56,1980-03-18,-0.5165289256198302,4.59479547611282
57,1980-03-19,9.449636552440287,4.799925680306174
58,1980-03-20,6.451612903225801,4.889723054246447
59,1980-03-21,0.0,4.866698313185638
60,1980-03-24,-0.4901960784313708,4.788347618515884
61,1980-03-25,-1.970443349753692,4.7617087334063255
62,1980-03-26,-7.1722247601644575,4.562662688928226
63,1980-03-27,-4.4783464566929165,4.593186086534869
64,1980-03-28,0.9788768675940142,4.257825676756773
65,1980-03-31,1.0204081632652962,4.265013049106871
66,1980-04-01,2.929292929292937,4.0077947597612384
67,1980-04-02,-1.7664376840039298,3.9432496215482415
68,1980-04-03,-2.9470529470529416,3.9194942091819596
69,1980-04-04,0.0,3.8191161039807673
70,1980-04-07,0.0,3.71942302165188
71,1980-04-08,8.69788986103963,3.7504415437479084
72,1980-04-09,4.924242424242432,3.80447745146566
73,1980-04-10,-5.054151624548743,3.792733732691666
74,1980-04-11,0.8555133079847899,3.7539181313645296
75,1980-04-14,-0.1413760603204528,3.7531650934915346
76,1980-04-15,-6.087777253421423,3.837740563817518
77,1980-04-16,4.522613065326642,3.796787799654673
78,1980-04-17,-1.3461538461538414,3.7966609465415306
79,1980-04-18,0.5068226120857666,3.7988739610894138
80,1980-04-21,-1.8619084561675716,3.775228891172209
81,1980-04-22,0.0,3.768631996503869
82,1980-04-23,0.0988142292490224,3.7676861110602227
83,1980-04-24,1.816386969397832,3.7757075102352786
84,1980-04-25,6.9420205545859925,3.9100724386255976
85,1980-04-28,-4.9410698096101555,3.9642696328997427
86,1980-04-29,-2.002861230329045,3.962438440570938
87,1980-04-30,0.8272506082725117,3.965866919756654
88,1980-05-01,-5.405405405405406,4.013627148842005
89,1980-05-02,4.591836734693877,4.018440973458804
90,1980-05-05,0.4878048780487809,4.011479660763418
91,1980-05-06,-0.4854368932038833,3.959604874030302
92,1980-05-07,0.0,3.958990725022953
93,1980-05-08,0.6341463414634152,3.9518895224411303
94,1980-05-09,-1.4541929229277772,3.9522202678486114
95,1980-05-12,0.9837678307919262,3.9021206256316656
96,1980-05-13,-0.2435460301997039,3.8487594675037564
97,1980-05-14,2.5390625,3.856936508611087
98,1980-05-15,-1.5238095238095273,3.86026501918886
99,1980-05-16,-0.09671179883945502,3.7923829970287355
100,1980-05-19,-0.4356243949661165,3.7551445745948784
101,1980-05-20,-1.2639766650461848,3.743396406631854
102,1980-05-21,1.1324470704086709,3.7252969794092943
103,1980-05-22,0.0,3.6606222136621156
104,1980-05-23,-0.4381694255111923,3.559993767415056
105,1980-05-26,0.0,3.392801304130869
106,1980-05-27,0.6943765281173464,3.392156439461977
107,1980-05-28,2.2727272727272707,3.1343714453339224
108,1980-05-29,-1.3105413105413022,2.999978107526998
109,1980-05-30,3.0600461893764312,3.0332800963636015
110,1980-06-02,4.8552754435107435,3.11059394071458
111,1980-06-03,-1.6028495102404228,3.106130941268868
112,1980-06-04,3.4389140271493317,2.9605641187626475
113,1980-06-05,1.7935258092738326,2.886858011889124
114,1980-06-06,0.0,2.8861982728572575
115,1980-06-09,7.2195960464116915,3.042973311138904
116,1980-06-10,-3.1663326653306623,3.0660195081986608
117,1980-06-11,-1.3245033112582738,3.0603183938977168
118,1980-06-12,-1.0067114093959773,3.0292154329159375
119,1980-06-13,3.1186440677966054,3.052116542036721
