Date,NIKKEI_225
1979-12-28,0.6224719668680656
1980-01-04,-0.1417170440737081
1980-01-07,-0.1144827842827989
1980-01-08,0.1622226604347521
1980-01-09,0.4350003951568482
1980-01-10,0.033066507695234115
1980-01-11,0.3260535055749969
1980-01-14,0.6657089258085724
1980-01-16,-0.09445141464784479
1980-01-17,0.045692474169367614
1980-01-18,-0.10516353236886822
1980-01-21,0.2552180755519551
1980-01-22,0.2748137105913484
1980-01-23,0.1436153484961622
1980-01-24,0.7878508895748926
1980-01-25,0.30798873647628344
1980-01-28,-0.06058324047022445
1980-01-29,0.1067509088526597
1980-01-30,0.08521879789524789
1980-01-31,-0.1245453749364911
1980-02-01,0.14006732674014533
1980-02-04,0.24447777788529912
1980-02-05,-0.42815638855702165
1980-02-06,0.5204632052507208
1980-02-07,-0.06926077037402445
1980-02-08,0.3003356227777143
1980-02-12,0.17634928806284922
1980-02-13,0.1162913163607282
1980-02-14,0.05660670755134323
1980-02-15,-0.17763378553593556
1980-02-18,-1.04148921682643
1980-02-19,0.09605046777771964
1980-02-20,0.634620018216614
1980-02-21,-0.43344045945055143
1980-02-22,0.0990251505822215
1980-02-25,-0.4707229750464448
1980-02-26,-0.17566810093314622
1980-02-27,0.5625055384504307
1980-02-28,-0.4920752207744683
1980-02-29,0.30990411128759554
1980-03-03,0.42380469481968497
1980-03-04,-0.22506666412324128
1980-03-05,0.2326555146588971
1980-03-06,-0.8529563362498216
1980-03-07,-1.646499238705823
1980-03-10,-1.7813858169100416
1980-03-11,0.4381291579816482
1980-03-12,1.1290355828958099
1980-03-13,-0.07670557095307284
1980-03-14,-0.16640802211892458
1980-03-17,-0.4662199541495382
1980-03-18,0.23694362698003513
1980-03-19,0.09956819619365564
1980-03-20,0.0
1980-03-21,-0.19726985435476463
1980-03-24,-0.06877933929890778
1980-03-25,-0.5480259469336612
1980-03-26,0.07073852771943834
1980-03-27,-0.8393646147428657
1980-03-28,-0.07853461313640508
1980-03-31,1.2393550087591354
1980-04-01,-0.8143469984924878
1980-04-02,0.9256079043632903
1980-04-03,0.780283973831053
1980-04-04,1.125456439257344
1980-04-07,0.7239127985396276
1980-04-08,-0.8092553654344692
1980-04-09,0.3845872205779699
1980-04-10,0.33197278605390235
1980-04-11,0.3187008970458427
1980-04-14,0.83249843489408
1980-04-15,-0.035106894031489144
1980-04-16,-0.5202881832592099
1980-04-17,0.41961765027682674
1980-04-18,0.18547963603443574
1980-04-21,-0.010573685921877463
1980-04-22,-0.17120424471512852
1980-04-23,0.6595126870420964
1980-04-24,-0.19784242504021776
1980-04-25,1.0907264729781208
1980-04-28,-0.42216806473923674
1980-04-30,-0.14689639643090668
1980-05-01,-0.006991141230661135
1980-05-02,0.2559303576997518
1980-05-06,-0.38604061485502106
1980-05-07,-0.309801428197376
1980-05-08,-1.1286240901126177
1980-05-09,0.7499546670847623
1980-05-12,-0.7849142221548977
1980-05-13,0.17764776748294686
1980-05-14,-0.28372805385297184
1980-05-15,-0.018235260358745453
1980-05-16,-0.20024822417190613
1980-05-19,-1.4654674290806469
1980-05-20,1.0998808642634916
1980-05-21,1.7127663044726793
1980-05-22,0.2156196497381968
1980-05-23,0.04387959934830654
1980-05-26,-0.11652548272501617
1980-05-27,-0.07933234086288099
1980-05-28,0.33032747381527283
1980-05-29,-0.1116929094954977
1980-05-30,0.20902583104109862
1980-06-02,0.10210481498453827
1980-06-03,-0.5321523301660025
1980-06-04,-0.44754595121019314
1980-06-05,0.3768650064958301
1980-06-06,-0.09881244126844768
1980-06-09,0.12532157898599294
1980-06-10,-0.5833148387303422
1980-06-11,0.630517724930657
1980-06-12,-0.16539019701131696
1980-06-13,0.10403719853964155
1980-06-16,0.4514902017737299
1980-06-17,-0.7896241589961273
1980-06-18,0.389059277781878
1980-06-19,-0.48455023194496905
1980-06-20,0.3234776730223432
1980-06-23,0.6903591702700718
1980-06-24,-0.794649366355249
1980-06-25,-0.6629101301339091
1980-06-26,0.5809544832686253
1980-06-27,0.36026604947807517
1980-06-30,0.6691605961980596
1980-07-01,-0.6746051448108581
1980-07-02,-0.07180028764111057
1980-07-03,0.650927094277276
1980-07-04,-0.25860160498232254
1980-07-07,-2.009900733636927
1980-07-08,0.7013471490431966
1980-07-09,0.5058059282120331
1980-07-10,0.06672262918479
1980-07-11,-0.09243525079630777
1980-07-14,-0.12669635721794803
1980-07-15,0.20666042639903015
1980-07-16,0.33532377314455797
1980-07-17,-0.0842080365385578
1980-07-18,0.13757804281060437
1980-07-21,0.3330085386327619
1980-07-22,-0.09338904085310906
1980-07-23,0.020042377676721124
1980-07-24,-0.6068068115160363
1980-07-25,0.21351231231849788
1980-07-28,0.09132568708414279
1980-07-29,-0.07819135668811761
1980-07-30,0.14270551880775084
1980-07-31,-0.021553927942385975
1980-08-01,-0.45941023981520557
1980-08-04,-0.5141184685787503
1980-08-05,0.1103177082375284
1980-08-06,-0.3088351715737181
1980-08-07,-0.0011881061406149307
1980-08-08,0.4692937474805481
1980-08-11,0.10366976659992311
1980-08-12,0.3413734648886724
1980-08-13,0.479876253446454
1980-08-14,-0.15100001559422704
1980-08-15,0.18786377491206707
1980-08-18,-0.01521232132443151
1980-08-19,0.42087400274553044
1980-08-20,0.20700499528241156
1980-08-21,-0.36445268991531776
1980-08-22,0.47376253200130947
1980-08-25,0.5348420188558967
1980-08-26,-0.2446981496059819
1980-08-27,0.3563593037250179
1980-08-28,-0.7334088940430195
1980-08-29,0.4978320628807875
1980-09-01,-0.35492847527299753
1980-09-02,0.37534962934553384
