,Date,NASDAQ_100,NAS_Returns_Rolling_Std
0,1979-12-28,0.3993916101814987,
1,1979-12-31,0.20552741224519888,
2,1980-01-02,-1.9650661768232487,
3,1980-01-03,-1.4847789901434651,
4,1980-01-04,1.4044002096019748,
5,1980-01-07,0.4053445370802544,
6,1980-01-08,1.3860840191792567,
7,1980-01-09,0.6105740926069858,
8,1980-01-10,1.00263122680877,
9,1980-01-11,0.4898119282200853,
10,1980-01-14,0.34444597206881866,
11,1980-01-15,0.3627027343019451,
12,1980-01-16,0.6646863406504444,
13,1980-01-17,-0.1153964960767806,
14,1980-01-18,0.2117970632410815,
15,1980-01-21,0.7749500497947537,
16,1980-01-22,-0.2732812097891002,
17,1980-01-23,1.0068837752597926,
18,1980-01-24,0.4668801261829669,
19,1980-01-25,0.28886710974418417,
20,1980-01-28,0.6261740881560618,
21,1980-01-29,-0.2551362835433113,
22,1980-01-30,0.6301141955880052,
23,1980-01-31,0.2789813959271914,
24,1980-02-01,0.3400327666151393,
25,1980-02-04,-0.17251940531387566,
26,1980-02-05,0.11109307218630793,
27,1980-02-06,0.4870579621527371,
28,1980-02-07,0.4785563384699598,
29,1980-02-08,0.9037039530144896,
30,1980-02-11,-0.4780593040847103,
31,1980-02-12,0.06688556203209295,
32,1980-02-13,0.2491274123844533,
33,1980-02-14,-0.8728349102396726,
34,1980-02-15,-0.5992387440055591,
35,1980-02-19,-0.9227362318250054,
36,1980-02-20,0.6457270662576287,
37,1980-02-21,-0.4873584026887645,
38,1980-02-22,-0.7625045039055811,
39,1980-02-25,-1.3180915627424958,
40,1980-02-26,0.33550610663097835,
41,1980-02-27,-0.4858069400630938,
42,1980-02-28,-0.17117162673355726,
43,1980-02-29,0.3619916008259727,
44,1980-03-03,-0.7340403767262083,
45,1980-03-04,-0.9434538453322427,
46,1980-03-05,-1.5766761154300537,
47,1980-03-06,-2.811562013710456,
48,1980-03-07,-1.6482757107661117,
49,1980-03-10,-1.6690621565214836,0.9009624942926813
50,1980-03-11,0.5634768695652159,0.903056086786672
51,1980-03-12,0.048427643171389256,0.9023123153810648
52,1980-03-13,0.2419905883291662,0.8614730870808519
53,1980-03-14,-0.3724610393836758,0.8374249788304614
54,1980-03-17,-3.2816428512649765,0.931920527989332
55,1980-03-18,-0.5583385946672625,0.9309814476026743
56,1980-03-19,0.7558328643223922,0.9141414230762177
57,1980-03-20,-0.2357662339375177,0.9077120240947668
58,1980-03-21,-0.6015439745169161,0.894021443654263
59,1980-03-24,-3.018733364148407,0.9735504090556413
60,1980-03-25,-1.5526312937179207,0.9863009796277832
61,1980-03-26,-0.2263831806102345,0.9817269031658142
62,1980-03-27,-6.148846572766242,1.273035501310107
63,1980-03-28,4.158275579281988,1.4296820455726338
64,1980-03-31,1.3539651837524147,1.4480588189696912
65,1980-04-01,1.633587022900751,1.4665255018308034
66,1980-04-02,1.997899969940664,1.5028180479427344
67,1980-04-03,0.15463328082547798,1.4927529197741012
68,1980-04-07,-1.9189773516277373,1.505991635906518
69,1980-04-08,0.7271372141141041,1.5110069519085416
70,1980-04-09,1.2428355005892344,1.5214800767231513
71,1980-04-10,0.9115010760108122,1.5314259519818152
72,1980-04-11,0.3423666982981244,1.528405433042214
73,1980-04-14,-0.7840304900181505,1.5275298687327759
74,1980-04-15,-0.20487232318537885,1.5246307304929043
75,1980-04-16,-0.4619136334182317,1.5245478373025707
76,1980-04-17,-0.8912728672389791,1.525065116291546
77,1980-04-18,0.08175473619276286,1.5215355439508857
78,1980-04-21,-1.1733268625181426,1.5206757252189298
79,1980-04-22,1.976258611718396,1.546820459541905
80,1980-04-23,0.8916004256045662,1.5571643267151778
81,1980-04-24,1.292728619525696,1.5734885106672887
82,1980-04-25,-0.5551979154200359,1.57156421034518
83,1980-04-28,0.4495323441057408,1.5736329501183086
84,1980-04-29,0.5846781008571389,1.578230260006669
85,1980-04-30,0.4592744689225104,1.5791190559615929
86,1980-05-01,-0.22145295301617685,1.5736351596346656
87,1980-05-02,0.4080806332801057,1.5763781389399625
88,1980-05-05,0.5632748663101372,1.5790229537943572
89,1980-05-06,0.8437344434638616,1.5785138386026911
90,1980-05-07,0.9491710876515792,1.5851132989405365
91,1980-05-08,-0.22287713855861924,1.5845312682126649
92,1980-05-09,-0.13960422098296954,1.584541069281336
93,1980-05-12,-0.06989445085829883,1.5827069092991974
94,1980-05-13,0.7974251148434641,1.586734095086132
95,1980-05-14,1.0825801075955654,1.592105782658503
96,1980-05-15,0.6590628680746002,1.5816253414214605
97,1980-05-16,0.4228686544423877,1.5326750557928457
98,1980-05-19,0.0,1.5142745439186902
99,1980-05-20,-0.2105487567729991,1.4948850512500422
100,1980-05-21,-0.12250255807199073,1.4932689591086996
101,1980-05-22,0.8245362862010275,1.4973742072203433
102,1980-05-23,1.027297193896448,1.5034638726108918
103,1980-05-27,0.4147779078078173,1.5028322426598184
104,1980-05-28,0.3997274990115596,1.4223969020770946
105,1980-05-29,-0.4047783756757517,1.420975437309832
106,1980-05-30,0.23985675900743966,1.4184671461721177
107,1980-06-02,-0.1861076806801143,1.4182056728971453
108,1980-06-03,-0.16647799382670805,1.4147966543511055
109,1980-06-04,0.8604649261001462,1.3411355738395054
110,1980-06-05,0.6613318918767153,1.3170130793428845
111,1980-06-06,0.3087747049377532,1.3149364528830518
112,1980-06-09,0.20959327657292806,0.9299650577315809
113,1980-06-10,0.7516300653594765,0.7600603553376845
114,1980-06-11,0.6941336630866157,0.7480086027783988
115,1980-06-12,0.0579802856720768,0.7253578156458843
