,Date,NIKKEI_225,NIK_Returns_Rolling_Std
0,1979-12-28,0.6224719668680656,
1,1980-01-04,-0.1417170440737081,
2,1980-01-07,-0.1144827842827989,
3,1980-01-08,0.1622226604347521,
4,1980-01-09,0.4350003951568482,
5,1980-01-10,0.03306650769523412,
6,1980-01-11,0.3260535055749969,
7,1980-01-14,0.6657089258085724,
8,1980-01-16,-0.0944514146478448,
9,1980-01-17,0.04569247416936762,
10,1980-01-18,-0.10516353236886823,
11,1980-01-21,0.2552180755519551,
12,1980-01-22,0.2748137105913484,
13,1980-01-23,0.1436153484961622,
14,1980-01-24,0.7878508895748926,
15,1980-01-25,0.30798873647628344,
16,1980-01-28,-0.06058324047022445,
17,1980-01-29,0.1067509088526597,
18,1980-01-30,0.08521879789524789,
19,1980-01-31,-0.1245453749364911,
20,1980-02-01,0.14006732674014533,
21,1980-02-04,0.2444777778852991,
22,1980-02-05,-0.4281563885570217,
23,1980-02-06,0.5204632052507208,
24,1980-02-07,-0.06926077037402445,
25,1980-02-08,0.3003356227777143,
26,1980-02-12,0.17634928806284922,
27,1980-02-13,0.1162913163607282,
28,1980-02-14,0.05660670755134323,
29,1980-02-15,-0.17763378553593556,
30,1980-02-18,-1.04148921682643,
31,1980-02-19,0.09605046777771964,
32,1980-02-20,0.634620018216614,
33,1980-02-21,-0.4334404594505514,
34,1980-02-22,0.0990251505822215,
35,1980-02-25,-0.4707229750464448,
36,1980-02-26,-0.17566810093314622,
37,1980-02-27,0.5625055384504307,
38,1980-02-28,-0.4920752207744683,
39,1980-02-29,0.30990411128759554,
40,1980-03-03,0.42380469481968497,
41,1980-03-04,-0.22506666412324128,
42,1980-03-05,0.2326555146588971,
43,1980-03-06,-0.8529563362498216,
44,1980-03-07,-1.646499238705823,
45,1980-03-10,-1.7813858169100416,
46,1980-03-11,0.4381291579816482,
47,1980-03-12,1.12903558289581,
48,1980-03-13,-0.07670557095307284,
49,1980-03-14,-0.16640802211892458,0.5308282594507492
50,1980-03-17,-0.4662199541495382,0.5279768696954634
51,1980-03-18,0.23694362698003515,0.5286282177761065
52,1980-03-19,0.09956819619365563,0.528492107977427
53,1980-03-20,0.0,0.5280435049786361
54,1980-03-21,-0.19726985435476466,0.5251697766373267
55,1980-03-24,-0.06877933929890777,0.5252176636997952
56,1980-03-25,-0.5480259469336612,0.5284502575982842
57,1980-03-26,0.07073852771943834,0.5192147966307055
58,1980-03-27,-0.8393646147428657,0.5314643701581628
59,1980-03-28,-0.07853461313640507,0.5312932070078549
60,1980-03-31,1.2393550087591354,0.5617775195321287
61,1980-04-01,-0.8143469984924878,0.5711114580664436
62,1980-04-02,0.9256079043632904,0.5858454721545718
63,1980-04-03,0.780283973831053,0.5966272303659648
64,1980-04-04,1.125456439257344,0.6077887785553346
65,1980-04-07,0.7239127985396276,0.6151092640093239
66,1980-04-08,-0.8092553654344692,0.6254600656691407
67,1980-04-09,0.3845872205779699,0.6278585922694236
68,1980-04-10,0.33197278605390235,0.6296427604254178
69,1980-04-11,0.3187008970458427,0.6311400879790198
70,1980-04-14,0.83249843489408,0.6418456521278569
71,1980-04-15,-0.035106894031489144,0.6409874988808524
72,1980-04-16,-0.5202881832592099,0.642390221971643
73,1980-04-17,0.4196176502768267,0.640890801271507
74,1980-04-18,0.18547963603443574,0.6413286972697553
75,1980-04-21,-0.010573685921877464,0.6399288570569553
76,1980-04-22,-0.17120424471512852,0.6398666689404748
77,1980-04-23,0.6595126870420964,0.6465709598904438
78,1980-04-24,-0.19784242504021776,0.6471523643898307
79,1980-04-25,1.0907264729781208,0.6646977316606923
80,1980-04-28,-0.4221680647392368,0.6500342019933859
81,1980-04-30,-0.14689639643090668,0.6504917575520308
82,1980-05-01,-0.006991141230661135,0.64466688224382
83,1980-05-02,0.2559303576997518,0.6421528780495674
84,1980-05-06,-0.38604061485502106,0.6447953978882973
85,1980-05-07,-0.309801428197376,0.6426767762305341
86,1980-05-08,-1.1286240901126177,0.662619441278521
87,1980-05-09,0.7499546670847623,0.6663430583464056
88,1980-05-12,-0.7849142221548977,0.6721198106960383
89,1980-05-13,0.17764776748294686,0.6711567853597591
90,1980-05-14,-0.28372805385297184,0.6695564398473671
91,1980-05-15,-0.018235260358745453,0.668847557858143
92,1980-05-16,-0.20024822417190613,0.6684811773931446
93,1980-05-19,-1.4654674290806469,0.6894188794352217
94,1980-05-20,1.0998808642634916,0.6668831407303801
95,1980-05-21,1.7127663044726793,0.6565297103601876
96,1980-05-22,0.2156196497381968,0.6549203401105491
97,1980-05-23,0.043879599348306535,0.6376133299930457
98,1980-05-26,-0.11652548272501614,0.6378258455258108
99,1980-05-27,-0.07933234086288099,0.6372865142791266
100,1980-05-28,0.33032747381527283,0.6335152123191977
101,1980-05-29,-0.1116929094954977,0.6337545718412156
102,1980-05-30,0.20902583104109865,0.6340109356136715
103,1980-06-02,0.10210481498453827,0.6339037385799626
104,1980-06-03,-0.5321523301660025,0.6386946419464876
105,1980-06-04,-0.4475459512101931,0.6427045557822524
106,1980-06-05,0.3768650064958301,0.6378331406344775
107,1980-06-06,-0.09881244126844768,0.638382197884776
108,1980-06-09,0.12532157898599294,0.6242811232278124
109,1980-06-10,-0.5833148387303422,0.6313482137840647
110,1980-06-11,0.630517724930657,0.6144667880116857
111,1980-06-12,-0.16539019701131694,0.6018600440219558
112,1980-06-13,0.10403719853964156,0.5898299423637451
113,1980-06-16,0.4514902017737299,0.5836534332721912
114,1980-06-17,-0.7896241589961273,0.5759314999433623
115,1980-06-18,0.389059277781878,0.569660558021493
