Date,NASDAQ_100
1979-12-28,0.3993916101814987
1979-12-31,0.20552741224519888
1980-01-02,-1.9650661768232491
1980-01-03,-1.484778990143465
1980-01-04,1.4044002096019748
1980-01-07,0.4053445370802544
1980-01-08,1.3860840191792567
1980-01-09,0.6105740926069858
1980-01-10,1.00263122680877
1980-01-11,0.48981192822008524
1980-01-14,0.34444597206881866
1980-01-15,0.3627027343019451
1980-01-16,0.6646863406504444
1980-01-17,-0.1153964960767806
1980-01-18,0.2117970632410815
1980-01-21,0.7749500497947537
1980-01-22,-0.2732812097891002
1980-01-23,1.0068837752597926
1980-01-24,0.4668801261829669
1980-01-25,0.28886710974418417
1980-01-28,0.6261740881560618
1980-01-29,-0.2551362835433113
1980-01-30,0.6301141955880052
1980-01-31,0.2789813959271914
1980-02-01,0.34003276661513926
1980-02-04,-0.17251940531387566
1980-02-05,0.11109307218630793
1980-02-06,0.4870579621527371
1980-02-07,0.4785563384699598
1980-02-08,0.9037039530144897
1980-02-11,-0.4780593040847103
1980-02-12,0.06688556203209295
1980-02-13,0.24912741238445335
1980-02-14,-0.8728349102396726
1980-02-15,-0.5992387440055591
1980-02-19,-0.9227362318250054
1980-02-20,0.6457270662576287
1980-02-21,-0.4873584026887645
1980-02-22,-0.7625045039055811
1980-02-25,-1.318091562742496
1980-02-26,0.33550610663097835
1980-02-27,-0.4858069400630938
1980-02-28,-0.17117162673355724
1980-02-29,0.3619916008259727
1980-03-03,-0.7340403767262083
1980-03-04,-0.9434538453322427
1980-03-05,-1.5766761154300535
1980-03-06,-2.8115620137104558
1980-03-07,-1.6482757107661117
1980-03-10,-1.6690621565214836
1980-03-11,0.5634768695652159
1980-03-12,0.048427643171389256
1980-03-13,0.2419905883291662
1980-03-14,-0.3724610393836758
1980-03-17,-3.2816428512649765
1980-03-18,-0.5583385946672625
1980-03-19,0.7558328643223922
1980-03-20,-0.23576623393751772
1980-03-21,-0.601543974516916
1980-03-24,-3.018733364148407
1980-03-25,-1.552631293717921
1980-03-26,-0.22638318061023455
1980-03-27,-6.148846572766242
1980-03-28,4.158275579281989
1980-03-31,1.3539651837524147
1980-04-01,1.633587022900751
1980-04-02,1.997899969940664
1980-04-03,0.154633280825478
1980-04-07,-1.9189773516277375
1980-04-08,0.7271372141141041
1980-04-09,1.2428355005892344
1980-04-10,0.9115010760108122
1980-04-11,0.3423666982981244
1980-04-14,-0.7840304900181505
1980-04-15,-0.20487232318537885
1980-04-16,-0.46191363341823166
1980-04-17,-0.8912728672389791
1980-04-18,0.08175473619276286
1980-04-21,-1.1733268625181426
1980-04-22,1.9762586117183956
1980-04-23,0.8916004256045662
1980-04-24,1.292728619525696
1980-04-25,-0.5551979154200359
1980-04-28,0.44953234410574083
1980-04-29,0.5846781008571389
1980-04-30,0.45927446892251034
1980-05-01,-0.22145295301617685
1980-05-02,0.4080806332801057
1980-05-05,0.5632748663101372
1980-05-06,0.8437344434638616
1980-05-07,0.9491710876515791
1980-05-08,-0.22287713855861924
1980-05-09,-0.13960422098296954
1980-05-12,-0.06989445085829882
1980-05-13,0.7974251148434641
1980-05-14,1.0825801075955654
1980-05-15,0.6590628680746002
1980-05-16,0.42286865444238764
1980-05-19,0.0
1980-05-20,-0.2105487567729991
1980-05-21,-0.12250255807199073
1980-05-22,0.8245362862010275
1980-05-23,1.0272971938964481
1980-05-27,0.4147779078078173
1980-05-28,0.3997274990115596
1980-05-29,-0.4047783756757517
1980-05-30,0.23985675900743963
1980-06-02,-0.1861076806801143
1980-06-03,-0.16647799382670803
1980-06-04,0.8604649261001462
1980-06-05,0.6613318918767153
1980-06-06,0.30877470493775316
1980-06-09,0.20959327657292803
1980-06-10,0.7516300653594765
1980-06-11,0.6941336630866157
1980-06-12,0.0579802856720768
1980-06-13,0.8241568582081804
1980-06-16,0.12772016419235754
1980-06-17,0.12118311657811631
1980-06-18,0.13377882873688574
1980-06-19,-0.292643294196282
1980-06-20,-0.14036942870846447
1980-06-23,0.3066960675578434
1980-06-24,0.4267781251424463
1980-06-25,0.6850190109090493
1980-06-26,0.16378669006593682
1980-06-27,0.11320314465408376
1980-06-30,-0.8795037451722942
1980-07-01,0.24717898496120494
1980-07-02,0.6385503020617023
1980-07-03,1.061692470359632
1980-07-07,1.7156773082513066
1980-07-08,-0.03055857634424175
1980-07-09,0.3117703837660857
1980-07-10,-0.15235541842538725
1980-07-11,0.5981512597204919
1980-07-14,1.0314263607572816
1980-07-15,0.31827947830220804
1980-07-16,0.029932953667777262
1980-07-17,0.9395523301177988
1980-07-18,0.7825973887780613
1980-07-21,0.28824694722493494
1980-07-22,-0.40474132812627905
1980-07-23,0.017677131301852
1980-07-24,0.05888057700997873
1980-07-25,-0.17066443232890416
1980-07-28,0.22991156546861014
1980-07-29,0.6116891986427619
1980-07-30,0.742431903921803
1980-07-31,-0.3017489664974282
1980-08-01,0.3957901215969839
1980-08-04,-0.3478497203359687
1980-08-05,0.36651637888485133
1980-08-06,0.5390638641533885
1980-08-07,1.0320023239896559
1980-08-08,0.3652134111728822
1980-08-11,0.6993381652451003
1980-08-12,-0.2766676061393136
1980-08-13,0.22648002000000833
1980-08-14,0.9829346744337553
1980-08-15,0.6321347234318209
1980-08-18,-1.473119136545209
1980-08-19,-0.5416418262908507
1980-08-20,0.794187660507073
1980-08-21,1.2550715262579004
1980-08-22,0.9949380024470322
1980-08-25,-0.06604017720484023
1980-08-26,0.4460827134477041
1980-08-27,-0.13158890362184872
1980-08-28,-0.6368317530661027
1980-08-29,0.2928332976177339
