Date,XAU_USD
1979-12-28,-0.6789524733268659
1980-01-01,0.0
1980-01-02,9.326171875
1980-01-03,13.309513175524778
1980-01-04,0.0
1980-01-07,-0.039416633819466806
1980-01-08,-3.785488958990535
1980-01-09,-0.4590163934426128
1980-01-10,-0.6340579710145011
1980-01-11,3.2568161100521964
1980-01-14,5.939004815409299
1980-01-15,3.6363636363636376
1980-01-16,11.111111111111116
1980-01-17,-1.3157894736842146
1980-01-18,11.333333333333329
1980-01-21,0.0
1980-01-22,-11.676646706586824
1980-01-23,-5.762711864406778
1980-01-24,3.1654676258992875
1980-01-25,-6.8340306834030695
1980-01-28,-6.586826347305386
1980-01-29,8.052884615384626
1980-01-30,2.484241750092697
1980-01-31,-5.499276410998554
1980-02-01,3.5987748851454837
1980-02-04,-0.9977827050997812
1980-02-05,0.0
1980-02-06,5.8603956700261195
1980-02-07,-1.3751763046544463
1980-02-08,-1.0368251698248176
1980-02-11,2.673410404624277
1980-02-12,-2.2519352568613704
1980-02-13,0.3239740820734305
1980-02-14,-2.116971654108357
1980-02-15,-2.1994134897360684
1980-02-18,0.0
1980-02-19,-2.2113943028485794
1980-02-20,0.0
1980-02-21,1.9547719432732924
1980-02-22,-5.263157894736848
1980-02-25,-2.1428571428571463
1980-02-26,4.176804541768053
1980-02-27,-0.9731413001167755
1980-02-28,1.572327044025168
1980-02-29,-1.393188854489169
1980-03-03,4.199372056514905
1980-03-04,-4.896421845574384
1980-03-05,1.9405940594059423
1980-03-06,0.0
1980-03-07,-5.361305361305357
1980-03-10,-3.9408866995073843
1980-03-11,-2.5213675213675235
1980-03-12,2.7093380096449016
1980-03-13,-4.985487450913439
1980-03-14,-6.019766397124893
1980-03-17,-7.45697896749522
1980-03-18,-0.5165289256198302
1980-03-19,9.449636552440289
1980-03-20,6.451612903225801
1980-03-21,0.0
1980-03-24,-0.4901960784313708
1980-03-25,-1.9704433497536922
1980-03-26,-7.172224760164458
1980-03-27,-4.4783464566929165
1980-03-28,0.978876867594014
1980-03-31,1.0204081632652962
1980-04-01,2.929292929292937
1980-04-02,-1.7664376840039298
1980-04-03,-2.9470529470529416
1980-04-04,0.0
1980-04-07,0.0
1980-04-08,8.69788986103963
1980-04-09,4.924242424242431
1980-04-10,-5.054151624548742
1980-04-11,0.8555133079847899
1980-04-14,-0.1413760603204528
1980-04-15,-6.0877772534214225
1980-04-16,4.522613065326642
1980-04-17,-1.3461538461538414
1980-04-18,0.5068226120857666
1980-04-21,-1.8619084561675714
1980-04-22,0.0
1980-04-23,0.09881422924902239
1980-04-24,1.8163869693978318
1980-04-25,6.9420205545859925
1980-04-28,-4.941069809610155
1980-04-29,-2.002861230329045
1980-04-30,0.8272506082725117
1980-05-01,-5.405405405405405
1980-05-02,4.591836734693877
1980-05-05,0.4878048780487809
1980-05-06,-0.4854368932038833
1980-05-07,0.0
1980-05-08,0.6341463414634152
1980-05-09,-1.4541929229277772
1980-05-12,0.9837678307919262
1980-05-13,-0.2435460301997039
1980-05-14,2.5390625
1980-05-15,-1.5238095238095273
1980-05-16,-0.09671179883945502
1980-05-19,-0.4356243949661165
1980-05-20,-1.2639766650461848
1980-05-21,1.1324470704086709
1980-05-22,0.0
1980-05-23,-0.4381694255111923
1980-05-26,0.0
1980-05-27,0.6943765281173464
1980-05-28,2.2727272727272707
1980-05-29,-1.3105413105413022
1980-05-30,3.060046189376431
1980-06-02,4.855275443510743
1980-06-03,-1.6028495102404228
1980-06-04,3.4389140271493313
1980-06-05,1.7935258092738326
1980-06-06,0.0
1980-06-09,7.2195960464116915
1980-06-10,-3.1663326653306623
1980-06-11,-1.3245033112582738
1980-06-12,-1.0067114093959773
1980-06-13,3.1186440677966054
1980-06-16,-3.024326101249175
1980-06-17,0.29661016949151797
1980-06-18,1.8166455428812789
1980-06-19,-0.5809128630705374
1980-06-20,0.5843071786310494
1980-06-23,0.0
1980-06-24,0.08298755186721962
1980-06-25,3.233830845771135
1980-06-26,0.3212851405622441
1980-06-27,2.081665332265814
1980-06-30,2.509803921568632
1980-07-01,0.9946442234123998
1980-07-02,0.2272727272727204
1980-07-03,0.3023431594860071
1980-07-04,0.0
1980-07-07,0.6028636021100153
1980-07-08,2.9962546816479474
1980-07-09,-2.400000000000002
1980-07-10,-2.16095380029806
1980-07-11,1.5536938309215653
1980-07-14,-2.5048747562621987
1980-07-15,-4.692307692307695
1980-07-16,0.8474576271186418
1980-07-17,0.400160064025612
1980-07-18,-3.3878039059386245
1980-07-21,1.8976897689769068
1980-07-22,-0.7287449392712531
1980-07-23,2.9771615008156616
1980-07-24,1.861386138613863
1980-07-25,1.3608087091757426
1980-07-28,-1.2658227848101222
1980-07-29,0.5050505050504972
1980-07-30,-2.7444916892153115
1980-07-31,-2.344992050874406
1980-08-01,1.2617012617012646
1980-08-04,1.4067524115755736
1980-08-05,-0.039635354736422546
1980-08-06,-0.4361617763679604
1980-08-07,0.278773397052956
1980-08-08,0.0794281175536149
1980-08-11,-2.0634920634920673
1980-08-12,-1.944894651539708
1980-08-13,1.694214876033051
1980-08-14,1.7472572125152297
1980-08-15,-0.23961661341852514
1980-08-18,-1.9215372297838318
1980-08-19,1.8775510204081636
1980-08-20,1.7227564102564097
1980-08-21,1.6541945647892797
1980-08-22,-0.9376210771018911
1980-08-25,-0.6961827284105215
1980-08-26,-0.9294998030720758
1980-08-27,0.7951021706289252
1980-08-28,0.22876074781099653
1980-08-29,-0.6374940972768695
1980-09-01,0.0
1980-09-02,1.3861386138613874
1980-09-03,-0.5078125000000044
